"unitid","school_name","address","state","A01"
214883,"Peirce College","1608 Walnut St., Suite 1900, Philadelphia, Pennsylvania","Pennsylvania",23555582
214971,"Pennsylvania Academy of the Fine Arts","128 N. Broad Street, Philadelphia, Pennsylvania","Pennsylvania",55005076
215053,"Pennsylvania College of Art and Design","204 N Prince St, Lancaster, Pennsylvania","Pennsylvania",5288389
215062,"University of Pennsylvania","34th & Spruce Street, Philadelphia, Pennsylvania","Pennsylvania",16499386000
215105,"University of the Arts","320 South Broad St, Philadelphia, Pennsylvania","Pennsylvania",56117769
215114,"Cairn University-Langhorne","200 Manor Ave, Langhorne, Pennsylvania","Pennsylvania",16683049
215123,"Philadelphia College of Osteopathic Medicine","4170 City Ave, Philadelphia, Pennsylvania","Pennsylvania",431730011
215132,NA,NA,NA,177149263
215266,"University of Pittsburgh-Bradford","300 Campus Drive, Bradford, Pennsylvania","Pennsylvania",NA
215275,"University of Pittsburgh-Greensburg","150 Finoli Drive, Greensburg, Pennsylvania","Pennsylvania",NA
215284,"University of Pittsburgh-Johnstown","450 Schoolhouse Road, Johnstown, Pennsylvania","Pennsylvania",NA
215293,"University of Pittsburgh-Pittsburgh Campus","4200 Fifth Avenue, Pittsburgh, Pennsylvania","Pennsylvania",4342563405
215309,"University of Pittsburgh-Titusville","504 East Main Street, Titusville, Pennsylvania","Pennsylvania",NA
215381,"Pittsburgh Institute of Aeronautics","5 Allegheny County Airport, West Mifflin, Pennsylvania","Pennsylvania",151694
215390,"Pittsburgh Institute of Mortuary Science Inc","5808 Baum Blvd, Pittsburgh, Pennsylvania","Pennsylvania",11584040
215415,"Pittsburgh Technical College","1111 McKee Road, Oakdale, Pennsylvania","Pennsylvania",5116578
215424,"Pittsburgh Theological Seminary","616 N Highland Ave, Pittsburgh, Pennsylvania","Pennsylvania",208765898
215442,"Point Park University","201 Wood St, Pittsburgh, Pennsylvania","Pennsylvania",46809247
215479,"Joseph F McCloskey School of Nursing","450 Washington St, Pottsville, Pennsylvania","Pennsylvania",NA
215594,"Reading Hospital School of Health Sciences","1025 Old Wyomissing Road, Reading, Pennsylvania","Pennsylvania",NA
215619,"Reconstructionist Rabbinical College","1299 Church Rd, Wyncote, Pennsylvania","Pennsylvania",14415708
215628,NA,NA,NA,4024806
215655,"Robert Morris University","6001 University Boulevard, Moon Township, Pennsylvania","Pennsylvania",36618716
215682,"Rosedale Technical College","215 Beecham  Drive, Pittsburgh, Pennsylvania","Pennsylvania",0
215691,"Rosemont College","1400 Montgomery Ave, Rosemont, Pennsylvania","Pennsylvania",19787857
215743,"Saint Francis University","117 Evergreen Dr, Loretto, Pennsylvania","Pennsylvania",51793305
215770,"Saint Joseph's University","5600 City Avenue, Philadelphia, Pennsylvania","Pennsylvania",295480028
215798,"Saint Vincent College","300 Fraser Purchase Rd, Latrobe, Pennsylvania","Pennsylvania",152469265
215929,"University of Scranton","800 Linden Street, Scranton, Pennsylvania","Pennsylvania",278676757
215947,"Seton Hill University","1 Seton Hill Drive, Greensburg, Pennsylvania","Pennsylvania",42791756
215974,"UPMC Shadyside School of Nursing","5230 Centre Ave, Pittsburgh, Pennsylvania","Pennsylvania",NA
216047,"Saint Charles Borromeo Seminary-Overbrook","100 East Wynnewood Road, Wynnewood, Pennsylvania","Pennsylvania",21578455
216162,"St Lukes Hospital School of Nursing","801 Ostrum Street, Bethlehem, Pennsylvania","Pennsylvania",NA
216278,"Susquehanna University","514 University Ave, Selinsgrove, Pennsylvania","Pennsylvania",166900257
216287,"Swarthmore College","500 College Ave, Swarthmore, Pennsylvania","Pennsylvania",2208855000
216311,"Talmudical Yeshiva of Philadelphia","6063 Drexel Rd, Philadelphia, Pennsylvania","Pennsylvania",9242719
216339,"Temple University","1801 North Broad Street, Philadelphia, Pennsylvania","Pennsylvania",880172000
216348,"Theological Seminary of the Reformed Episcopal Church","826 2nd Ave, Blue Bell, Pennsylvania","Pennsylvania",932649
216357,"Thiel College","75 College Ave, Greenville, Pennsylvania","Pennsylvania",31506620
216366,"Thomas Jefferson University","1020 Walnut Street, Philadelphia, Pennsylvania","Pennsylvania",1084935924
216463,"Trinity Episcopal School for Ministry","311 Eleventh St, Ambridge, Pennsylvania","Pennsylvania",23575528
216524,"Ursinus College","601 E. Main St, Collegeville, Pennsylvania","Pennsylvania",157590352
216542,"University of Valley Forge","1401 Charlestown Road, Phoenixville, Pennsylvania","Pennsylvania",669103
216551,"Valley Forge Military College","1001 Eagle Rd, Wayne, Pennsylvania","Pennsylvania",NA
216597,"Villanova University","800 Lancaster Avenue, Villanova, Pennsylvania","Pennsylvania",821225568
216630,"Washington Health System School of Nursing","155 Wilson Ave, Washington, Pennsylvania","Pennsylvania",NA
216667,"Washington & Jefferson College","60 S Lincoln St, Washington, Pennsylvania","Pennsylvania",151894506
216694,"Waynesburg University","51 West College Street, Waynesburg, Pennsylvania","Pennsylvania",46285345
216773,"Western Pennsylvania Hospital School of Nursing","4900 Friendship Ave, Pittsburgh, Pennsylvania","Pennsylvania",NA
216807,"Westminster College","319 South Market  Street, New Wilmington, Pennsylvania","Pennsylvania",117063369
216816,"Westminster Theological Seminary","2960 W Church Rd, Glenside, Pennsylvania","Pennsylvania",13820805
216852,"Widener University","One University Place, Chester, Pennsylvania","Pennsylvania",98446006
216931,"Wilkes University","84 West South Street, Wilkes-Barre, Pennsylvania","Pennsylvania",52407204
216940,"Williamson College of the Trades","106 South New Middletown Road, Media, Pennsylvania","Pennsylvania",124744323
217013,"Wilson College","1015 Philadelphia Ave, Chambersburg, Pennsylvania","Pennsylvania",55038060
217040,"Yeshivath Beth Moshe","930 Hickory St, Scranton, Pennsylvania","Pennsylvania",0
217059,"York College of Pennsylvania","441 Country Club Rd, York, Pennsylvania","Pennsylvania",217021772
217156,"Brown University","One Prospect Street, Providence, Rhode Island","Rhode Island",4368716000
217165,"Bryant University","1150 Douglas Pike, Smithfield, Rhode Island","Rhode Island",199195000
