"unitid","school_name","address","state","A01","H03A"
117557,"Lincoln University","401 15th Street, Oakland, California","California",3670727,0
117575,"Southern California Seminary","2075 E. Madison Avenue, El Cajon, California","California",0,0
117627,"La Sierra University","4500 Riverwalk Parkway, Riverside, California","California",113038081,133211
117636,"Loma Linda University","11139 Anderson Street, Loma Linda, California","California",1414850000,6389000
117672,"Southern California University of Health Sciences","16200 East Amber Valley Drive, Whittier, California","California",18359763,0
117751,"The Master's University and Seminary","21726 Placerita Canyon Road, Santa Clarita, California","California",40972780,1377225
117946,"Loyola Marymount University","One Lmu Drive, Los Angeles, California","California",710643000,14955000
118693,"Menlo College","1000 El Camino Real, Atherton, California","California",23818188,317181
119173,"Mount Saint Mary's University","12001 Chalon Rd, Los Angeles, California","California",196219885,936890
119605,"National University","9388 Lightwave Ave, San Diego, California","California",1209313516,63526161
120166,"San Francisco Bay University","161 Mission Falls Lane, Fremont, California","California",236567082,NA
120184,"Notre Dame de Namur University","1500 Ralston Ave, Belmont, California","California",23666807,13950
120254,"Occidental College","1600 Campus Rd, Los Angeles, California","California",602030105,19615963
120403,"Otis College of Art and Design","9045 Lincoln Blvd, Los Angeles, California","California",43303589,0
120537,"Hope International University","2500 E Nutwood Ave, Fullerton, California","California",5781704,46858
120698,"Palo Alto University","1791 Arastradero Rd, Palo Alto, California","California",4069100,48500
120768,"Pacific Oaks College","45 W Eureka Street, Pasadena, California","California",0,0
120795,"Pacific School of Religion","1798 Scenic Ave, Berkeley, California","California",58057600,6106584
120838,"Pacific States University","3424 Wilshire Blvd. 12th floor, Los Angeles, California","California",0,NA
120865,"Pacific Union College","One Angwin Ave, Angwin, California","California",25324756,107481
120883,"University of the Pacific","3601 Pacific Ave, Stockton, California","California",652111815,10118799
121150,"Pepperdine University","24255 Pacific Coast Hwy, Malibu, California","California",1724574000,83456000
121257,"Pitzer College","1050 North Mills Avenue, Claremont, California","California",196272785,1019719
121309,"Point Loma Nazarene University","3900 Lomaland Dr, San Diego, California","California",101264737,2314770
121345,"Pomona College","550 N College Ave, Claremont, California","California",3034363000,14162000
121628,"Pardee RAND Graduate School","1776 Main St, Santa Monica, California","California",NA,583000
121691,"University of Redlands","1200 E. Colton Ave, Redlands, California","California",299839995,6583956
122117,"Dongguk University Los Angeles","440 Shatto Pl, Los Angeles, California","California",0,NA
122296,"Samuel Merritt University","3100 Telegraph Avenue, Oakland, California","California",259617164,0
122436,"University of San Diego","5998 Alcala Park, San Diego, California","California",765290000,19613000
122506,"San Francisco Conservatory of Music","50 Oak Street, San Francisco, California","California",57047000,3396000
122612,"University of San Francisco","2130 Fulton St, San Francisco, California","California",561015000,21524000
122649,"San Joaquin College of Law","901 Fifth St, Clovis, California","California",3489735,0
122728,"William Jessup University","2121 University Avenue, Rocklin, California","California",5290818,679612
122931,"Santa Clara University","500 El Camino Real, Santa Clara, California","California",1667242000,46502000
123095,"Saybrook University","55 W Eureka Street, Pasadena, California","California",0,NA
123165,"Scripps College","1030 North Columbia Avenue, Claremont, California","California",526659985,3644475
123280,"Shasta Bible College and Graduate School","2951 Goodwater Ave., Redding, California","California",618874,14268
123448,"Trinity Law School","2200 N Grand Ave, Santa Ana, California","California",142360,0
123457,"Simpson University","2211 College View Drive, Redding, California","California",7425064,169985
123554,"Saint Mary's College of California","1928 Saint Marys Road, Moraga, California","California",197976000,3460000
123633,"South Baylo University","1126 N Brookhurst St, Anaheim, California","California",0,NA
123651,"Vanguard University of Southern California","55 Fair Dr, Costa Mesa, California","California",10904384,379851
123916,"Starr King School for the Ministry","414 13th St., Suite 700, Oakland, California","California",6931398,272108
123943,"Marshall B Ketchum University","2575 Yorba Linda Blvd, Fullerton, California","California",22160941,0
123952,"Southern California Institute of Architecture","960 E. 3rd Street, Los Angeles, California","California",1554000,382000
123961,"University of Southern California","University Park, Los Angeles, California","California",8809315000,170484000
123970,"Southwestern Law School","3050 Wilshire Boulevard, Los Angeles, California","California",71236988,1081617
124283,"Claremont School of Theology","1325 N College Ave, Claremont, California","California",2543981,1000000
124292,"Thomas Aquinas College","10000 Ojai Road, Santa Paula, California","California",29943249,3765046
124487,"Epic Bible College & Graduate School","4330 Auburn Boulevard, Sacramento, California","California",0,NA
125037,"The Colleges of Law at Ventura","4475 Market St, Ventura, California","California",0,0
125718,"Westminster Theological Seminary in California","1725 Bear Valley Parkway, Escondido, California","California",6887376,78000
125727,"Westmont College","955 La Paz Rd, Santa Barbara, California","California",102659064,10118494
125763,"Whittier College","13406 E Philadelphia Street, Whittier, California","California",129206425,851933
125897,"Woodbury University","7500 N. Glenoaks Blvd, Burbank, California","California",21026066,62205
126012,"The Wright Institute","2728 Durant Ave, Berkeley, California","California",13532466,2035000
